dataset,n_base,dim,metric,family,build_params,query_param,k,is_default,recall_id,recall_tieaware,latency_median_ms,latency_p95_ms,build_seconds,memory_mb,repeat
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 1024}",2,10,0,0.44667,0.447,0.0527,0.0956,7.75,104.52,2
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 1024}",4,10,0,0.621,0.62133,0.0765,0.1273,7.75,104.52,0
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 1024}",4,10,0,0.621,0.62133,0.0771,0.1265,7.75,104.52,1
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 1024}",4,10,0,0.621,0.62133,0.0789,0.1242,7.75,104.52,2
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 1024}",8,10,0,0.77267,0.773,0.125,0.1873,7.75,104.52,0
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 1024}",8,10,0,0.77267,0.773,0.1253,0.1812,7.75,104.52,1
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 1024}",8,10,0,0.77267,0.773,0.1269,0.1887,7.75,104.52,2
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 1024}",16,10,0,0.88167,0.882,0.2202,0.3057,7.75,104.52,0
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 1024}",16,10,0,0.88167,0.882,0.2173,0.2976,7.75,104.52,1
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 1024}",16,10,0,0.88167,0.882,0.2189,0.2958,7.75,104.52,2
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 1024}",32,10,0,0.96667,0.967,0.3985,0.5204,7.75,104.52,0
sift-128-euclidean,200000,128,euclidean,IVF-Flat,"{""nlist"": 1024}",32,10,0,0.96667,0.967,0.3911,0.5059,7.75,104.52,1
