dataset,n_base,dim,metric,family,build_params,query_param,k,is_default,recall_id,recall_tieaware,latency_median_ms,latency_p95_ms,build_seconds,memory_mb,repeat
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 100}",2,10,0,0.56433,0.56733,0.5393,0.8007,0.7,206.5,2
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 100}",4,10,0,0.63367,0.63667,1.0035,1.362,0.7,206.5,0
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 100}",4,10,0,0.63367,0.63667,1.0268,1.4209,0.7,206.5,1
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 100}",4,10,0,0.63367,0.63667,1.0174,1.3904,0.7,206.5,2
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 100}",8,10,0,0.72533,0.72867,2.0386,2.5526,0.7,206.5,0
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 100}",8,10,0,0.72533,0.72867,2.0009,2.4525,0.7,206.5,1
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 100}",8,10,0,0.72533,0.72867,1.9577,2.3966,0.7,206.5,2
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 100}",16,10,0,0.82167,0.82633,3.8132,4.4459,0.7,206.5,0
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 100}",16,10,0,0.82167,0.82633,3.8262,4.371,0.7,206.5,1
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 100}",16,10,0,0.82167,0.82633,3.8272,4.416,0.7,206.5,2
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 100}",32,10,0,0.90533,0.911,7.6094,8.3629,0.7,206.5,0
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 100}",32,10,0,0.90533,0.911,7.6518,8.4174,0.7,206.5,1
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 100}",32,10,0,0.90533,0.911,7.7324,8.4135,0.7,206.5,2
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 100}",64,10,0,0.96933,0.97267,15.0771,15.9088,0.7,206.5,0
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 100}",64,10,0,0.96933,0.97267,15.2069,16.1899,0.7,206.5,1
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 100}",64,10,0,0.96933,0.97267,15.0147,16.1283,0.7,206.5,2
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 100}",128,10,0,0.99767,1.0,23.2779,24.0698,0.7,206.5,0
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 100}",128,10,0,0.99767,1.0,23.4362,24.3073,0.7,206.5,1
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 100}",128,10,0,0.99767,1.0,23.7353,24.8597,0.7,206.5,2
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 1024}",1,10,0,0.59033,0.59233,0.0952,0.1468,12.6,207.45,0
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 1024}",1,10,0,0.59033,0.59233,0.092,0.1402,12.6,207.45,1
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 1024}",1,10,0,0.59033,0.59233,0.0804,0.1337,12.6,207.45,2
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 1024}",2,10,0,0.665,0.66733,0.1201,0.1999,12.6,207.45,0
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 1024}",2,10,0,0.665,0.66733,0.1278,0.2088,12.6,207.45,1
