dataset,n_base,dim,metric,family,build_params,query_param,k,is_default,recall,recall_id,recall_std,latency_ms,latency_ms_std,latency_p95_ms,build_seconds,memory_mb
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 4096}",1,10,0,0.52067,0.51933,0.0,0.20936666666666667,0.0006027713773341597,0.2662333333333333,47.48,210.59
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 4096}",2,10,0,0.653,0.651,0.0,0.21646666666666667,0.0013428824718989113,0.2735,47.48,210.59
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 4096}",4,10,0,0.72633,0.7239999999999999,0.0,0.24453333333333335,0.0071395611443094515,0.3203666666666667,47.48,210.59
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 4096}",8,10,0,0.77367,0.771,0.0,0.28453333333333336,0.012122018533781118,0.3551666666666667,47.48,210.59
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 4096}",16,10,0,0.807,0.80267,0.0,0.33453333333333335,0.001305118130030129,0.4146,47.48,210.59
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 4096}",32,10,0,0.83733,0.8323300000000001,0.0,0.47209999999999996,0.011945291959596472,0.5872,47.48,210.59
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 4096}",64,10,0,0.8643300000000002,0.85833,0.0,0.7283333333333334,0.023326880059993747,0.8788333333333332,47.48,210.59
nytimes-256-angular,200000,256,angular,IVF-Flat,"{""nlist"": 4096}",128,10,0,0.892,0.886,0.0,1.2056333333333333,0.015774768883674118,1.4039000000000001,47.48,210.59
nytimes-256-angular,200000,256,angular,IVF-PQ,"{""m"": 16, ""nbits"": 8, ""nlist"": 1024}",1,10,0,0.37633,0.37533,0.0,0.08773333333333333,0.000776745346515404,0.13116666666666665,26.48,5.849999999999999
nytimes-256-angular,200000,256,angular,IVF-PQ,"{""m"": 16, ""nbits"": 8, ""nlist"": 1024}",2,10,0,0.391,0.38967,0.0,0.09433333333333334,0.0010408329997330687,0.2152333333333333,26.48,5.849999999999999
nytimes-256-angular,200000,256,angular,IVF-PQ,"{""m"": 16, ""nbits"": 8, ""nlist"": 1024}",4,10,0,0.40767,0.4066699999999999,0.0,0.11086666666666667,0.0016289055630494176,0.16176666666666664,26.48,5.849999999999999
nytimes-256-angular,200000,256,angular,IVF-PQ,"{""m"": 16, ""nbits"": 8, ""nlist"": 1024}",8,10,0,0.41533,0.4143299999999999,0.0,0.13186666666666666,0.00313421973277775,0.18543333333333334,26.48,5.849999999999999
nytimes-256-angular,200000,256,angular,IVF-PQ,"{""m"": 16, ""nbits"": 8, ""nlist"": 1024}",16,10,0,0.41967,0.41866999999999993,0.0,0.1764,0.0040951190458886535,0.23896666666666666,26.48,5.849999999999999
nytimes-256-angular,200000,256,angular,IVF-PQ,"{""m"": 16, ""nbits"": 8, ""nlist"": 1024}",64,10,0,0.42632999999999993,0.42533,0.0,0.43916666666666665,0.015852549742339024,0.5273666666666667,26.48,5.849999999999999
nytimes-256-angular,200000,256,angular,IVF-PQ,"{""m"": 16, ""nbits"": 8, ""nlist"": 1024}",128,10,0,0.427,0.426,0.0,0.7283,0.008416056083463394,0.8295333333333333,26.48,5.849999999999999
nytimes-256-angular,200000,256,angular,IVF-PQ,"{""m"": 16, ""nbits"": 8, ""nlist"": 4096}",1,10,0,0.39467,0.39367,0.0,0.23566666666666666,0.0015502687938977937,0.3070333333333333,61.330000000000005,8.99
