dataset,n_base,dim,metric,family,build_params,query_param,k,is_default,recall_id,recall_tieaware,latency_median_ms,latency_p95_ms,build_seconds,memory_mb,repeat
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 100}",32,10,0,0.98033,0.98033,2.6373,2.9885,0.28,81.64,2
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 100}",64,10,0,0.99667,0.99667,5.2635,5.7591,0.28,81.64,0
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 100}",64,10,0,0.99667,0.99667,5.2016,5.7077,0.28,81.64,1
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 100}",64,10,0,0.99667,0.99667,5.2071,5.6217,0.28,81.64,2
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 100}",128,10,0,1.0,1.0,7.6241,7.972,0.28,81.64,0
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 100}",128,10,0,1.0,1.0,8.0142,8.5158,0.28,81.64,1
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 100}",128,10,0,1.0,1.0,7.8183,8.6429,0.28,81.64,2
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 1024}",1,10,0,0.33533,0.33533,0.035,0.0597,5.63,82.01,0
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 1024}",1,10,0,0.33533,0.33533,0.0353,0.0673,5.63,82.01,1
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 1024}",1,10,0,0.33533,0.33533,0.0349,0.0591,5.63,82.01,2
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 1024}",2,10,0,0.45767,0.45767,0.0438,0.0633,5.63,82.01,0
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 1024}",2,10,0,0.45767,0.45767,0.0435,0.0753,5.63,82.01,1
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 1024}",2,10,0,0.45767,0.45767,0.0431,0.0768,5.63,82.01,2
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 1024}",4,10,0,0.579,0.579,0.0634,0.1043,5.63,82.01,0
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 1024}",4,10,0,0.579,0.579,0.0624,0.1034,5.63,82.01,1
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 1024}",4,10,0,0.579,0.579,0.0612,0.105,5.63,82.01,2
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 1024}",8,10,0,0.681,0.681,0.0979,0.1444,5.63,82.01,0
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 1024}",8,10,0,0.681,0.681,0.097,0.1391,5.63,82.01,1
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 1024}",8,10,0,0.681,0.681,0.0996,0.1452,5.63,82.01,2
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 1024}",16,10,0,0.77033,0.77033,0.1687,0.227,5.63,82.01,0
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 1024}",16,10,0,0.77033,0.77033,0.1721,0.222,5.63,82.01,1
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 1024}",16,10,0,0.77033,0.77033,0.1715,0.235,5.63,82.01,2
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 1024}",32,10,0,0.84567,0.84567,0.307,0.3816,5.63,82.01,0
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 1024}",32,10,0,0.84567,0.84567,0.3175,0.3991,5.63,82.01,1
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 1024}",32,10,0,0.84567,0.84567,0.3128,0.3917,5.63,82.01,2
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 1024}",64,10,0,0.907,0.907,0.5764,0.6926,5.63,82.01,0
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 1024}",64,10,0,0.907,0.907,0.58,0.7176,5.63,82.01,1
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 1024}",64,10,0,0.907,0.907,0.5623,0.6741,5.63,82.01,2
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 1024}",128,10,0,0.95733,0.95733,1.0709,1.2334,5.63,82.01,0
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 1024}",128,10,0,0.95733,0.95733,1.0793,1.3416,5.63,82.01,1
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 1024}",128,10,0,0.95733,0.95733,1.0795,1.2765,5.63,82.01,2
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 4096}",1,10,0,0.262,0.262,0.094,0.1355,21.42,83.24,0
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 4096}",1,10,0,0.262,0.262,0.0982,0.1484,21.42,83.24,1
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 4096}",1,10,0,0.262,0.262,0.0866,0.128,21.42,83.24,2
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 4096}",2,10,0,0.37467,0.37467,0.0901,0.1319,21.42,83.24,0
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 4096}",2,10,0,0.37467,0.37467,0.0902,0.1329,21.42,83.24,1
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 4096}",2,10,0,0.37467,0.37467,0.0908,0.1326,21.42,83.24,2
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 4096}",4,10,0,0.468,0.468,0.0994,0.1425,21.42,83.24,0
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 4096}",4,10,0,0.468,0.468,0.0984,0.1439,21.42,83.24,1
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 4096}",4,10,0,0.468,0.468,0.0979,0.1405,21.42,83.24,2
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 4096}",8,10,0,0.579,0.579,0.1134,0.1537,21.42,83.24,0
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 4096}",8,10,0,0.579,0.579,0.1136,0.1608,21.42,83.24,1
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 4096}",8,10,0,0.579,0.579,0.1165,0.163,21.42,83.24,2
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 4096}",16,10,0,0.67867,0.67867,0.1407,0.1939,21.42,83.24,0
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 4096}",16,10,0,0.67867,0.67867,0.1427,0.1935,21.42,83.24,1
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 4096}",16,10,0,0.67867,0.67867,0.1411,0.1904,21.42,83.24,2
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 4096}",32,10,0,0.75967,0.75967,0.1937,0.2462,21.42,83.24,0
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 4096}",32,10,0,0.75967,0.75967,0.1901,0.2415,21.42,83.24,1
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 4096}",32,10,0,0.75967,0.75967,0.198,0.2528,21.42,83.24,2
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 4096}",64,10,0,0.83867,0.83867,0.3176,0.3936,21.42,83.24,0
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 4096}",64,10,0,0.83867,0.83867,0.2993,0.3743,21.42,83.24,1
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 4096}",64,10,0,0.83867,0.83867,0.2935,0.36,21.42,83.24,2
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 4096}",128,10,0,0.89067,0.89067,0.4868,0.5991,21.42,83.24,0
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 4096}",128,10,0,0.89067,0.89067,0.4766,0.5829,21.42,83.24,1
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 4096}",128,10,0,0.89067,0.89067,0.4732,0.573,21.42,83.24,2
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 5, ""nbits"": 8, ""nlist"": 1024}",1,10,1,0.128,0.128,0.0388,0.0652,10.07,3.01,0
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 5, ""nbits"": 8, ""nlist"": 1024}",1,10,1,0.128,0.128,0.0388,0.0677,10.07,3.01,1
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 5, ""nbits"": 8, ""nlist"": 1024}",1,10,1,0.128,0.128,0.0387,0.069,10.07,3.01,2
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 5, ""nbits"": 8, ""nlist"": 1024}",2,10,0,0.14267,0.14267,0.0419,0.0768,10.07,3.01,0
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 5, ""nbits"": 8, ""nlist"": 1024}",2,10,0,0.14267,0.14267,0.0413,0.0754,10.07,3.01,1
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 5, ""nbits"": 8, ""nlist"": 1024}",2,10,0,0.14267,0.14267,0.0415,0.0834,10.07,3.01,2
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 5, ""nbits"": 8, ""nlist"": 1024}",4,10,0,0.15233,0.15233,0.0465,0.0798,10.07,3.01,0
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 5, ""nbits"": 8, ""nlist"": 1024}",4,10,0,0.15233,0.15233,0.0462,0.0797,10.07,3.01,1
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 5, ""nbits"": 8, ""nlist"": 1024}",4,10,0,0.15233,0.15233,0.046,0.078,10.07,3.01,2
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 5, ""nbits"": 8, ""nlist"": 1024}",8,10,0,0.156,0.156,0.0565,0.092,10.07,3.01,0
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 5, ""nbits"": 8, ""nlist"": 1024}",8,10,0,0.156,0.156,0.0562,0.0883,10.07,3.01,1
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 5, ""nbits"": 8, ""nlist"": 1024}",8,10,0,0.156,0.156,0.0562,0.089,10.07,3.01,2
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 5, ""nbits"": 8, ""nlist"": 1024}",16,10,0,0.15567,0.15567,0.0769,0.1214,10.07,3.01,0
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 5, ""nbits"": 8, ""nlist"": 1024}",16,10,0,0.15567,0.15567,0.0765,0.1211,10.07,3.01,1
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 5, ""nbits"": 8, ""nlist"": 1024}",16,10,0,0.15567,0.15567,0.0756,0.1145,10.07,3.01,2
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 5, ""nbits"": 8, ""nlist"": 1024}",64,10,0,0.156,0.156,0.1987,0.2427,10.07,3.01,0
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 5, ""nbits"": 8, ""nlist"": 1024}",64,10,0,0.156,0.156,0.2013,0.2632,10.07,3.01,1
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 5, ""nbits"": 8, ""nlist"": 1024}",64,10,0,0.156,0.156,0.2024,0.2551,10.07,3.01,2
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 5, ""nbits"": 8, ""nlist"": 1024}",128,10,0,0.156,0.156,0.3482,0.4558,10.07,3.01,0
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 5, ""nbits"": 8, ""nlist"": 1024}",128,10,0,0.156,0.156,0.3451,0.3991,10.07,3.01,1
glove-100-angular,200000,100,angular,IVF-PQ,"{""m"": 5, ""nbits"": 8, ""nlist"": 1024}",128,10,0,0.156,0.156,0.3488,0.4391,10.07,3.01,2
